k,accuracy,precision_died,recall_died,f1_died,tp,tn,fp,fn
1,0.6003,0.4194,0.4889,0.4473,44,120,63,46
3,0.663,0.4935,0.5,0.4939,45,136,47,45
5,0.6595,0.4739,0.4111,0.437,37,143,40,53
7,0.7034,0.5733,0.4222,0.47,38,154,29,52
9,0.6888,0.5471,0.3667,0.4287,33,155,28,57
